match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1187678,New Zealand,India,male,2019/20,43856,India tour of New Zealand,2,Eden Park,Auckland,New Zealand,bat,KL Rahul,CM Brown,SB Haig,Kim Cotton,A Mehrotra,BC Broad,India,0,7
1187679,New Zealand,India,male,2019/20,43859,India tour of New Zealand,3,Seddon Park,Hamilton,New Zealand,field,RG Sharma,CM Brown,SB Haig,JM Dempsey,Kim Cotton,BC Broad,tie,0,0
1187680,New Zealand,India,male,2019/20,43861,India tour of New Zealand,4,Westpac Stadium,Wellington,New Zealand,field,SN Thakur,CM Brown,SB Haig,GA Stirrat,A Mehrotra,BC Broad,tie,0,0
1187681,New Zealand,India,male,2019/20,43863,India tour of New Zealand,5,Bay Oval,Mount Maunganui,India,bat,JJ Bumrah,CM Brown,SB Haig,Damian Morrow,A Mehrotra,BC Broad,India,7,0
1188379,Netherlands,Zimbabwe,male,2019,43639,Zimbabwe tour of Netherlands and Ireland,1,Hazelaarweg,Rotterdam,Zimbabwe,field,0,0,HKG Jansen,Rizwan Akram,Adriaan van den Dries,GF Labrooy,Netherlands,49,0
1188380,Netherlands,Zimbabwe,male,2019,43641,Zimbabwe tour of Netherlands and Ireland,2,Hazelaarweg,Rotterdam,Netherlands,bat,0,0,0,0,0,0,tie,0,0
1188621,India,West Indies,male,2019,43680,India tour of United States of America and West Indies,1,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,field,NA Saini,N Duguid,GO Brathwaite,PA Gustard,LS Reifer,JJ Crowe,India,0,4
1188622,India,West Indies,male,2019,43681,India tour of United States of America and West Indies,2,Central Broward Regional Park Stadium Turf Ground,Lauderhill,India,bat,KH Pandya,N Duguid,GO Brathwaite,PA Gustard,LS Reifer,JJ Crowe,India,22,0
1188623,West Indies,India,male,2019,43683,India tour of United States of America and West Indies,3,"Providence Stadium, Guyana",Providence,India,field,DL Chahar,N Duguid,LS Reifer,PA Gustard,GO Brathwaite,JJ Crowe,India,0,7
1191008,Netherlands,United Arab Emirates,male,2019,43685,United Arab Emirates tour of Netherlands,4,Sportpark Westvliet,The Hague,Netherlands,bat,HKG Jansen,WPM van Liemt,Rizwan Akram,K Gallagher,United Arab Emirates,7,United Arab Emirates,0,7
1192875,Sri Lanka,New Zealand,male,2019,43709,New Zealand tour of Sri Lanka,1,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,LRPL Taylor,RR Wimalasiri,RMPJ Rambukwella,REJ Martinesz,LE Hannibal,AJ Pycroft,New Zealand,0,5
1192876,Sri Lanka,New Zealand,male,2019,43711,New Zealand tour of Sri Lanka,2,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,TG Southee,RR Wimalasiri,LE Hannibal,REJ Martinesz,RMPJ Rambukwella,AJ Pycroft,New Zealand,0,4
1192877,Sri Lanka,New Zealand,male,2019,43714,New Zealand tour of Sri Lanka,3,Pallekele International Cricket Stadium,Kandy,Sri Lanka,bat,SL Malinga,LE Hannibal,RMPJ Rambukwella,REJ Martinesz,RR Wimalasiri,AJ Pycroft,Sri Lanka,37,0
1193494,Afghanistan,West Indies,male,2019/20,43783,Afghanistan tour of India,1,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,field,KA Pollard,Ahmed Shah Pakteen,Ahmed Shah Durrani,Mahmood Kharoti,Izatullah Safi,BC Broad,West Indies,30,0
1193495,Afghanistan,West Indies,male,2019/20,43785,Afghanistan tour of India,2,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,bat,Karim Janat,Ahmed Shah Durrani,Izatullah Safi,Mahmood Kharoti,Ahmed Shah Pakteen,BC Broad,Afghanistan,41,0
1193496,Afghanistan,West Indies,male,2019/20,43786,Afghanistan tour of India,3,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Afghanistan,bat,Rahmanullah Gurbaz,Ahmed Shah Pakteen,Izatullah Safi,Mahmood Kharoti,Ahmed Shah Durrani,BC Broad,Afghanistan,29,0
1197140,Bangladesh,Zimbabwe,male,2019,43721,Bangladesh Twenty20 Tri-Series,1,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Afif Hossain,Sharfuddoula,Masudur Rahman,Gazi Sohel,Tanvir Ahmed,BC Broad,Bangladesh,0,3
1197141,Afghanistan,Zimbabwe,male,2019,43722,Bangladesh Twenty20 Tri-Series,2,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,field,Najibullah Zadran,Sharfuddoula,Gazi Sohel,Tanvir Ahmed,Masudur Rahman,BC Broad,Afghanistan,28,0
1197142,Bangladesh,Afghanistan,male,2019,43723,Bangladesh Twenty20 Tri-Series,3,"Shere Bangla National Stadium, Mirpur",Dhaka,Afghanistan,bat,Mohammad Nabi,Masudur Rahman,Gazi Sohel,Tanvir Ahmed,Sharfuddoula,BC Broad,Afghanistan,25,0
1197143,Bangladesh,Zimbabwe,male,2019,43726,Bangladesh Twenty20 Tri-Series,4,Zahur Ahmed Chowdhury Stadium,Chattogram,Zimbabwe,field,Mahmudullah,Tanvir Ahmed,Masudur Rahman,Gazi Sohel,Sharfuddoula,BC Broad,Bangladesh,39,0
1197144,Afghanistan,Zimbabwe,male,2019,43728,Bangladesh Twenty20 Tri-Series,5,Zahur Ahmed Chowdhury Stadium,Chattogram,Afghanistan,bat,CB Mpofu,Sharfuddoula,Tanvir Ahmed,Masudur Rahman,Gazi Sohel,BC Broad,Zimbabwe,0,7
1197145,Bangladesh,Afghanistan,male,2019,43729,Bangladesh Twenty20 Tri-Series,6,Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh,field,Shakib Al Hasan,Masudur Rahman,Gazi Sohel,Tanvir Ahmed,Sharfuddoula,BC Broad,Bangladesh,0,4
1197521,Ireland,Netherlands,male,2019/20,43743,Oman Pentangular T20I Series,2,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Vinod Babu,Rashid Riaz,Rahul Asher,WC Labrooy,0,0,Ireland,0,6
1197522,Oman,Ireland,male,2019/20,43744,Oman Pentangular T20I Series,3,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Harikrishna Pillai,Rashid Riaz,Rahul Asher,WC Labrooy,0,0,Oman,43,0
1198235,England,Australia,male,2020,44078,Australia tour of England,1,The Rose Bowl,Southampton,Australia,field,DJ Malan,MJ Saggers,AG Wharf,M Burns,DJ Millns,BC Broad,England,2,0
1198236,Australia,England,male,2020,44080,Australia tour of England,2,The Rose Bowl,Southampton,Australia,bat,JC Buttler,M Burns,DJ Millns,AG Wharf,MJ Saggers,BC Broad,England,0,6
1198237,England,Australia,male,2020,44082,Australia tour of England,3,The Rose Bowl,Southampton,Australia,field,MR Marsh,MJ Saggers,AG Wharf,M Burns,DJ Millns,BC Broad,Australia,0,5
1198244,England,Pakistan,male,2020,44071,Pakistan tour of England,1,Old Trafford,Manchester,Pakistan,field,AG Wharf,M Burns,DJ Millns,MJ Saggers,Wayne Noon,0,no result,0,0
1198245,Pakistan,England,male,2020,44073,Pakistan tour of England,2,Old Trafford,Manchester,England,field,EJG Morgan,MJ Saggers,DJ Millns,AG Wharf,M Burns,Wayne Noon,England,0,5
1198246,Pakistan,England,male,2020,44075,Pakistan tour of England,3,Old Trafford,Manchester,England,field,Mohammad Hafeez,M Burns,DJ Millns,MJ Saggers,AG Wharf,Wayne Noon,Pakistan,5,0
1198489,Pakistan,Sri Lanka,male,2019/20,43743,Sri Lanka tour of Pakistan,1,Gaddafi Stadium,Lahore,Pakistan,field,MD Gunathilaka,Aleem Dar,Ahsan Raza,Asif Yaqoob,Shozab Raza,DC Boon,Sri Lanka,64,0
1198490,Pakistan,Sri Lanka,male,2019/20,43745,Sri Lanka tour of Pakistan,2,Gaddafi Stadium,Lahore,Sri Lanka,bat,PBB Rajapaksa,Asif Yaqoob,Aleem Dar,0,Shozab Raza,DC Boon,Sri Lanka,35,0
1198491,Pakistan,Sri Lanka,male,2019/20,43747,Sri Lanka tour of Pakistan,3,Gaddafi Stadium,Lahore,Sri Lanka,bat,PWH de Silva,Shozab Raza,Aleem Dar,Tariq Rasheed,Asif Yaqoob,DC Boon,Sri Lanka,13,0
1199499,Scotland,Singapore,male,2019/20,43756,ICC Men's T20 World Cup Qualifier,1,ICC Academy,Dubai,Scotland,field,S Vijayakumar,Ahsan Raza,R Black,0,Sharfuddoula,GH Pienaar,Singapore,2,0
1199500,Hong Kong,Ireland,male,2019/20,43756,ICC Men's T20 World Cup Qualifier,2,Sheikh Zayed Stadium,Abu Dhabi,Hong Kong,bat,PR Stirling,SJ Nogajski,S Ravi,0,LE Hannibal,GS Lakshmi,Ireland,0,8
1199507,United Arab Emirates,Ireland,male,2019/20,43757,ICC Men's T20 World Cup Qualifier,9,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,field,Rohan Mustafa,SJ Nogajski,Rashid Riaz,A Paleker,0,JJ Crowe,United Arab Emirates,0,5
1199541,United Arab Emirates,Netherlands,male,2019/20,43767,ICC Men's T20 World Cup Qualifier,0,Dubai International Cricket Stadium,United Arab Emirates,bat,BD Glover,LE Hannibal,R Black,Ahmed Shah Pakteen,GH Pienaar,Netherlands,GH Pienaar,Netherlands,0,8
1199546,Ireland,Netherlands,male,2019/20,43770,ICC Men's T20 World Cup Qualifier,0,Dubai International Cricket Stadium,Ireland,field,RE van der Merwe,Sharfuddoula,AG Wharf,Ahsan Raza,0,0,GS Lakshmi,Netherlands,21,0
1200425,Netherlands,Scotland,male,2019,43727,Ireland Tri-Nation T20I Series,5,"The Village, Malahide",Dublin,Netherlands,bat,DH Mclean,AJ Neill,Rizwan Akram,GH Pienaar,Scotland,GH Pienaar,Scotland,0,6
1200427,Ireland,Scotland,male,2019,43725,Ireland Tri-Nation T20I Series,3,"The Village, Malahide",Dublin,Scotland,bat,A Balbirnie,Rizwan Akram,AJ Neill,DH Mclean,0,GH Pienaar,Ireland,0,4
1200428,Ireland,Netherlands,male,2019,43726,Ireland Tri-Nation T20I Series,4,"The Village, Malahide",Dublin,Ireland,bat,BN Cooper,Rizwan Akram,DH Mclean,AJ Neill,0,GH Pienaar,Netherlands,0,6
1202243,India,Sri Lanka,male,2019/20,43837,Sri Lanka tour of India,2,Holkar Cricket Stadium,Indore,India,field,NA Saini,C Shamshuddin,AK Chaudhary,VK Sharma,Nitin Menon,DC Boon,India,0,7
1202244,India,Sri Lanka,male,2019/20,43840,Sri Lanka tour of India,3,Maharashtra Cricket Association Stadium,Pune,Sri Lanka,field,SN Thakur,Nitin Menon,VK Sharma,K Srinivasan,C Shamshuddin,DC Boon,India,78,0
1203676,West Indies,Ireland,male,2019/20,43845,Ireland tour of West Indies,1,"National Cricket Stadium, Grenada",St George's,Ireland,bat,PR Stirling,PA Gustard,GO Brathwaite,Jonathan Blades,JM Williams,JJ Crowe,Ireland,4,0
1203678,West Indies,Ireland,male,2019/20,43849,Ireland tour of West Indies,3,"Warner Park, St Kitts",Basseterre,West Indies,field,LMP Simmons,PA Gustard,GO Brathwaite,Jonathan Blades,JM Williams,JJ Crowe,West Indies,0,9
1213058,Pakistan,Bangladesh,male,2019/20,43854,Bangladesh tour of Pakistan,1,Gaddafi Stadium,Lahore,Bangladesh,bat,Shoaib Malik,Shozab Raza,Ahsan Raza,Tariq Rasheed,Ahmed Shahab,RS Madugalle,Pakistan,0,5
1213059,Pakistan,Bangladesh,male,2019/20,43855,Bangladesh tour of Pakistan,2,Gaddafi Stadium,Lahore,Bangladesh,bat,Babar Azam,Shozab Raza,Ahsan Raza,Tariq Rasheed,Ahmed Shahab,RS Madugalle,Pakistan,0,9
1213874,Sri Lanka,West Indies,male,2019/20,43894,West Indies tour of Sri Lanka,1,Pallekele International Cricket Stadium,Kandy,West Indies,bat,O Thomas,RMPJ Rambukwella,RSA Palliyaguruge,RR Wimalasiri,LE Hannibal,J Srinath,West Indies,25,0
1213875,Sri Lanka,West Indies,male,2019/20,43896,West Indies tour of Sri Lanka,2,Pallekele International Cricket Stadium,Kandy,West Indies,field,AD Russell,RR Wimalasiri,LE Hannibal,RMPJ Rambukwella,RSA Palliyaguruge,J Srinath,West Indies,0,7
1214670,Bangladesh,Zimbabwe,male,2019/20,43899,Zimbabwe tour of Bangladesh,1,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,field,Soumya Sarkar,Tanvir Ahmed,Sharfuddoula,Masudur Rahman,Gazi Sohel,JJ Crowe,Bangladesh,48,0
